visit1_objectid,june25_objectid,visit1_lon,visit1_lat,june25_lon,june25_lat,Visit1_Ground_Truth,June25_Ground_Truth,Visit1_Pred_LLM,June25_Pred_LLM,Visit1_Pred_wo_LLM,June25_Pred_wo_LLM,Ground_Truth_Changed,LLM_Pred_Changed,wo_LLM_Pred_Changed
4079.jpg,4079.jpg,-82.39407019,35.60242955090438,-82.39407019,35.60242955090438,Not Occupied,Occupied,Occupied,Not Occupied,Occupied,Not Occupied,True,True,True
4533.jpg,4533.jpg,-82.40128289,35.60042569296819,-82.40128289,35.60042569296819,Unknown,Unknown,Occupied,Occupied,Occupied,Occupied,False,False,False
5069.jpg,5069.jpg,-82.3953291,35.602655371825826,-82.3953291,35.602655371825826,Occupied,Unknown,Occupied,Occupied,Occupied,Occupied,True,False,False
5069.jpg,5069.jpg,-82.3953291,35.602655371825826,-82.3953291,35.602655371825826,Occupied,Unknown,Occupied,Occupied,Occupied,Occupied,True,False,False
5173.jpg,5173.jpg,-82.4004294,35.600048327110706,-82.4004294,35.600048327110706,Not Occupied,Occupied,Not Occupied,Occupied,Occupied,Occupied,True,True,False
5286.jpg,5286.jpg,-82.3907445,35.599659637968195,-82.3907445,35.599659637968195,Occupied,Unknown,Occupied,Occupied,Occupied,Occupied,True,False,False
5518.jpg,5518.jpg,-82.40732582,35.60147895640248,-82.40732582,35.60147895640248,Not Occupied,Unknown,Not Occupied,Occupied,Not Occupied,Occupied,True,True,True
5530.jpg,5530.jpg,-82.40342737,35.60224548243951,-82.40342737,35.60224548243951,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
6173.jpg,6173.jpg,-82.39512102,35.601930482932055,-82.39512102,35.601930482932055,Occupied,Unknown,Occupied,Not Occupied,Occupied,Not Occupied,True,True,True
6225.jpg,6225.jpg,-82.39390497,35.60233733773265,-82.39390497,35.60233733773265,Not Occupied,Not Occupied,Not Occupied,Not Occupied,Not Occupied,Not Occupied,False,False,False
6671.jpg,6671.jpg,-82.31740318,35.624644987795975,-82.31740318,35.624644987795975,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
6671.jpg,6671.jpg,-82.31740318,35.624644987795975,-82.31740318,35.624644987795975,Not Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,True,False,False
7190.jpg,7190.jpg,-82.31880931,35.62646878219067,-82.31880931,35.62646878219067,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
7799.jpg,7799.jpg,-82.39882015,35.60091412897339,-82.39882015,35.60091412897339,Not Occupied,Not Occupied,Not Occupied,Not Occupied,Not Occupied,Not Occupied,False,False,False
8885.jpg,8885.jpg,-82.31469815,35.625734651194165,-82.31469815,35.625734651194165,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
9388.jpg,9388.jpg,-82.42859499,35.61780733771165,-82.42859499,35.61780733771165,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
10312.jpg,10312.jpg,-82.39188953,35.60056045732012,-82.39188953,35.60056045732012,Occupied,Unknown,Occupied,Occupied,Occupied,Occupied,True,False,False
10643.jpg,10643.jpg,-82.40127245,35.600284309553125,-82.40127245,35.600284309553125,Not Occupied,Not Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
10675.jpg,10675.jpg,-82.39137703,35.600606165014604,-82.39137703,35.600606165014604,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
12103.jpg,12103.jpg,-82.31789922,35.624615723280726,-82.31789922,35.624615723280726,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
12103.jpg,12103.jpg,-82.31789922,35.624615723280726,-82.31789922,35.624615723280726,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
12928.jpg,12928.jpg,-82.31525557,35.62703216041788,-82.31525557,35.62703216041788,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
13237.jpg,13237.jpg,-82.40568641,35.603547046141216,-82.40568641,35.603547046141216,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
13311.jpg,13311.jpg,-82.3775665,35.60451939123023,-82.3775665,35.60451939123023,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
13702.jpg,13702.jpg,-82.40072142,35.59912533687466,-82.40072142,35.59912533687466,Occupied,Unknown,Occupied,Occupied,Occupied,Occupied,True,False,False
13848.jpg,13848.jpg,-82.42852808,35.61752773564076,-82.42852808,35.61752773564076,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
14315.jpg,14315.jpg,-82.3916092,35.60105770959479,-82.3916092,35.60105770959479,Occupied,Unknown,Occupied,Occupied,Occupied,Occupied,True,False,False
14315.jpg,14315.jpg,-82.3916092,35.60105770959479,-82.3916092,35.60105770959479,Occupied,Unknown,Occupied,Occupied,Occupied,Occupied,True,False,False
14859.jpg,14859.jpg,-82.37751749,35.60440719118068,-82.37751749,35.60440719118068,Unknown,Occupied,Occupied,Occupied,Occupied,Occupied,True,False,False
14986.jpg,14986.jpg,-82.40044975,35.60036637022063,-82.40044975,35.60036637022063,Not Occupied,Not Occupied,Not Occupied,Not Occupied,Not Occupied,Occupied,False,False,True
15609.jpg,15609.jpg,-82.37802676,35.60597837185784,-82.37802676,35.60597837185784,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
17151.jpg,17151.jpg,-82.42926189,35.61885932995322,-82.42926189,35.61885932995322,Unknown,Occupied,Occupied,Occupied,Occupied,Occupied,True,False,False
17773.jpg,17773.jpg,-82.39840996,35.60101547995369,-82.39840996,35.60101547995369,Unknown,Occupied,Occupied,Occupied,Occupied,Occupied,True,False,False
17816.jpg,17816.jpg,-82.4013191,35.60199540505324,-82.4013191,35.60199540505324,Occupied,Unknown,Occupied,Occupied,Occupied,Occupied,True,False,False
17816.jpg,17816.jpg,-82.4013191,35.60199540505324,-82.4013191,35.60199540505324,Occupied,Unknown,Occupied,Occupied,Occupied,Occupied,True,False,False
18111.jpg,18111.jpg,-82.39738702,35.60050635552669,-82.39738702,35.60050635552669,Occupied,Unknown,Occupied,Occupied,Occupied,Occupied,True,False,False
18609.jpg,18609.jpg,-82.39118529,35.60247036329948,-82.39118529,35.60247036329948,Not Occupied,Occupied,Not Occupied,Occupied,Not Occupied,Occupied,True,True,True
18610.jpg,18610.jpg,-82.3925666,35.60090869,-82.3925666,35.60090869,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
18610.jpg,18610.jpg,-82.3925666,35.60090869,-82.3925666,35.60090869,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
18909.jpg,18909.jpg,-82.3170455,35.61839347090053,-82.3170455,35.61839347090053,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
19224.jpg,19224.jpg,-82.4076323,35.60311703751471,-82.4076323,35.60311703751471,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
19482.jpg,19482.jpg,-82.39297966,35.60201840866454,-82.39297966,35.60201840866454,Not Occupied,Not Occupied,Not Occupied,Not Occupied,Not Occupied,Not Occupied,False,False,False
20326.jpg,20326.jpg,-82.38954592,35.60093021670098,-82.38954592,35.60093021670098,Not Occupied,Occupied,Not Occupied,Occupied,Not Occupied,Occupied,True,True,True
20845.jpg,20845.jpg,-82.39478047,35.60239077300143,-82.39478047,35.60239077300143,Not Occupied,Unknown,Not Occupied,Occupied,Not Occupied,Occupied,True,True,True
20899.jpg,20899.jpg,-82.39952489,35.59880712469273,-82.39952489,35.59880712469273,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
21916.jpg,21916.jpg,-82.3158569,35.62481169525431,-82.3158569,35.62481169525431,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
22554.jpg,22554.jpg,-82.38655854,35.60414548321409,-82.38655854,35.60414548321409,Not Occupied,Occupied,Not Occupied,Occupied,Not Occupied,Occupied,True,True,True
22887.jpg,22887.jpg,-82.3929681,35.60123183,-82.3929681,35.60123183,Occupied,Unknown,Occupied,Occupied,Occupied,Occupied,True,False,False
22887.jpg,22887.jpg,-82.3929681,35.60123183,-82.3929681,35.60123183,Occupied,Unknown,Occupied,Occupied,Occupied,Occupied,True,False,False
23585.jpg,23585.jpg,-82.37899836,35.60688534028662,-82.37899836,35.60688534028662,Unknown,Unknown,Occupied,Occupied,Occupied,Occupied,False,False,False
23775.jpg,23775.jpg,-82.39475682,35.60267998503761,-82.39475682,35.60267998503761,Unknown,Occupied,Occupied,Occupied,Occupied,Occupied,True,False,False
23775.jpg,23775.jpg,-82.39475682,35.60267998503761,-82.39475682,35.60267998503761,Unknown,Occupied,Occupied,Occupied,Occupied,Occupied,True,False,False
24267.jpg,24267.jpg,-82.39224917,35.60079721365586,-82.39224917,35.60079721365586,Occupied,Unknown,Occupied,Occupied,Occupied,Occupied,True,False,False
24883.jpg,24883.jpg,-82.31769886,35.62395715487172,-82.31769886,35.62395715487172,Not Occupied,Not Occupied,Not Occupied,Not Occupied,Not Occupied,Not Occupied,False,False,False
25130.jpg,25130.jpg,-82.42374708,35.61539890225489,-82.42374708,35.61539890225489,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
26117.jpg,26117.jpg,-82.31780758,35.62951354,-82.31780758,35.62951354,Unknown,Occupied,Occupied,Occupied,Occupied,Occupied,True,False,False
26421.jpg,26421.jpg,-82.31513681,35.62681258992734,-82.31513681,35.62681258992734,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
26934.jpg,26934.jpg,-82.31685872,35.62985088773003,-82.31685872,35.62985088773003,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
27980.jpg,27980.jpg,-82.39859429,35.60142278112049,-82.39859429,35.60142278112049,Not Occupied,Not Occupied,Not Occupied,Not Occupied,Not Occupied,Not Occupied,False,False,False
28406.jpg,28406.jpg,-82.39499331,35.60121344716309,-82.39499331,35.60121344716309,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
28406.jpg,28406.jpg,-82.39499331,35.60121344716309,-82.39499331,35.60121344716309,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
28632.jpg,28632.jpg,-82.37791067,35.60444221560584,-82.37791067,35.60444221560584,Occupied,Unknown,Occupied,Occupied,Occupied,Occupied,True,False,False
29061.jpg,29061.jpg,-82.42915466,35.61892306883628,-82.42915466,35.61892306883628,Unknown,Occupied,Occupied,Occupied,Occupied,Occupied,True,False,False
29611.jpg,29611.jpg,-82.4281269,35.61779621803648,-82.4281269,35.61779621803648,Unknown,Occupied,Occupied,Occupied,Occupied,Occupied,True,False,False
31044.jpg,31044.jpg,-82.31752676,35.627888051848856,-82.31752676,35.627888051848856,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
31338.jpg,31338.jpg,-82.42360174,35.614257433054924,-82.42360174,35.614257433054924,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
31569.jpg,31569.jpg,-82.39162639,35.600268209532466,-82.39162639,35.600268209532466,Occupied,Unknown,Occupied,Occupied,Occupied,Occupied,True,False,False
31629.jpg,31629.jpg,-82.31611887,35.623838390776605,-82.31611887,35.623838390776605,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
31726.jpg,31726.jpg,-82.31593843,35.62381492363166,-82.31593843,35.62381492363166,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
32176.jpg,32176.jpg,-82.39502566,35.60177578417694,-82.39502566,35.60177578417694,Occupied,Unknown,Occupied,Occupied,Occupied,Occupied,True,False,False
32932.jpg,32932.jpg,-82.40763265,35.603429564044326,-82.40763265,35.603429564044326,Not Occupied,Occupied,Not Occupied,Occupied,Not Occupied,Occupied,True,True,True
33312.jpg,33312.jpg,-82.31719305,35.627218630606976,-82.31719305,35.627218630606976,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
33904.jpg,33904.jpg,-82.31785937,35.62434857155408,-82.31785937,35.62434857155408,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
34235.jpg,34235.jpg,-82.40899326,35.60023125812438,-82.40899326,35.60023125812438,Occupied,Unknown,Occupied,Occupied,Occupied,Occupied,True,False,False
35118.jpg,35118.jpg,-82.40013081,35.59971283872159,-82.40013081,35.59971283872159,Occupied,Unknown,Occupied,Occupied,Not Occupied,Occupied,True,False,True
35551.jpg,35551.jpg,-82.4283609,35.61794790009617,-82.4283609,35.61794790009617,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
36098.jpg,36098.jpg,-82.39478821,35.60120133229407,-82.39478821,35.60120133229407,Occupied,Unknown,Occupied,Occupied,Occupied,Occupied,True,False,False
36098.jpg,36098.jpg,-82.39478821,35.60120133229407,-82.39478821,35.60120133229407,Occupied,Unknown,Occupied,Occupied,Occupied,Occupied,True,False,False
36312.jpg,36312.jpg,-82.31481532,35.62365501860808,-82.31481532,35.62365501860808,Occupied,Unknown,Occupied,Occupied,Occupied,Occupied,True,False,False
37270.jpg,37270.jpg,-82.37824494,35.60542983370551,-82.37824494,35.60542983370551,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
37354.jpg,37354.jpg,-82.3174742,35.618026285305255,-82.3174742,35.618026285305255,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
37769.jpg,37769.jpg,-82.39397932,35.60121008705428,-82.39397932,35.60121008705428,Not Occupied,Unknown,Not Occupied,Occupied,Not Occupied,Occupied,True,True,True
37769.jpg,37769.jpg,-82.39397932,35.60121008705428,-82.39397932,35.60121008705428,Not Occupied,Unknown,Not Occupied,Occupied,Not Occupied,Occupied,True,True,True
38281.jpg,38281.jpg,-82.40012121,35.59899009616153,-82.40012121,35.59899009616153,Occupied,Unknown,Occupied,Occupied,Occupied,Occupied,True,False,False
38648.jpg,38648.jpg,-82.37816096,35.60645334211534,-82.37816096,35.60645334211534,Occupied,Unknown,Occupied,Occupied,Occupied,Occupied,True,False,False
38666.jpg,38666.jpg,-82.31844903,35.62627499229243,-82.31844903,35.62627499229243,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
38960.jpg,38960.jpg,-82.39800713,35.60158199768961,-82.39800713,35.60158199768961,Unknown,Unknown,Occupied,Occupied,Occupied,Occupied,False,False,False
39009.jpg,39009.jpg,-82.39502609,35.60237227,-82.39502609,35.60237227,Occupied,Unknown,Occupied,Occupied,Occupied,Occupied,True,False,False
39604.jpg,39604.jpg,-82.31825797,35.62785867260939,-82.31825797,35.62785867260939,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
39718.jpg,39718.jpg,-82.39908755,35.60010785880627,-82.39908755,35.60010785880627,Occupied,Unknown,Occupied,Occupied,Occupied,Occupied,True,False,False
40016.jpg,40016.jpg,-82.42885008,35.61768218517247,-82.42885008,35.61768218517247,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
41638.jpg,41638.jpg,-82.39895025,35.601188358892564,-82.39895025,35.601188358892564,Unknown,Not Occupied,Occupied,Not Occupied,Occupied,Not Occupied,True,True,True
42521.jpg,42521.jpg,-82.42374938,35.61894948589138,-82.42374938,35.61894948589138,Unknown,Unknown,Occupied,Occupied,Occupied,Occupied,False,False,False
42639.jpg,42639.jpg,-82.38420365,35.599226257551855,-82.38420365,35.599226257551855,Not Occupied,Unknown,Occupied,Occupied,Occupied,Occupied,True,False,False
43437.jpg,43437.jpg,-82.39970925,35.59874287034509,-82.39970925,35.59874287034509,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
43527.jpg,43527.jpg,-82.31661752,35.629454445163354,-82.31661752,35.629454445163354,Unknown,Unknown,Occupied,Occupied,Occupied,Occupied,False,False,False
43825.jpg,43825.jpg,-82.37804035,35.60481472398134,-82.37804035,35.60481472398134,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
43875.jpg,43875.jpg,-82.39994883,35.59834011153823,-82.39994883,35.59834011153823,Occupied,Unknown,Occupied,Occupied,Occupied,Occupied,True,False,False
44262.jpg,44262.jpg,-82.42903203,35.61956038936097,-82.42903203,35.61956038936097,Unknown,Occupied,Occupied,Occupied,Occupied,Occupied,True,False,False
44510.jpg,44510.jpg,-82.39101816,35.602725350211536,-82.39101816,35.602725350211536,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
45548.jpg,45548.jpg,-82.39543392,35.601749748427665,-82.39543392,35.601749748427665,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
46904.jpg,46904.jpg,-82.38831791,35.60398983853555,-82.38831791,35.60398983853555,Unknown,Not Occupied,Occupied,Not Occupied,Occupied,Occupied,True,True,False
47001.jpg,47001.jpg,-82.37765347,35.60371256189304,-82.37765347,35.60371256189304,Occupied,Not Occupied,Occupied,Not Occupied,Occupied,Not Occupied,True,True,True
47082.jpg,47082.jpg,-82.40655849,35.60336310899277,-82.40655849,35.60336310899277,Not Occupied,Not Occupied,Not Occupied,Not Occupied,Not Occupied,Not Occupied,False,False,False
47165.jpg,47165.jpg,-82.40049081,35.59962535360827,-82.40049081,35.59962535360827,Not Occupied,Unknown,Not Occupied,Occupied,Not Occupied,Occupied,True,True,True
47644.jpg,47644.jpg,-82.39047904,35.59970402,-82.39047904,35.59970402,Occupied,Unknown,Occupied,Occupied,Occupied,Occupied,True,False,False
48058.jpg,48058.jpg,-82.31765799,35.62527446616258,-82.31765799,35.62527446616258,Occupied,Unknown,Occupied,Occupied,Occupied,Occupied,True,False,False
48058.jpg,48058.jpg,-82.31765799,35.62527446616258,-82.31765799,35.62527446616258,Occupied,Unknown,Occupied,Occupied,Occupied,Occupied,True,False,False
49580.jpg,49580.jpg,-82.38377314,35.59913798071881,-82.38377314,35.59913798071881,Unknown,Unknown,Occupied,Occupied,Occupied,Occupied,False,False,False
49745.jpg,49745.jpg,-82.31631785,35.62431951068352,-82.31631785,35.62431951068352,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
50524.jpg,50524.jpg,-82.31644841,35.62384018376621,-82.31644841,35.62384018376621,Unknown,Occupied,Occupied,Occupied,Occupied,Occupied,True,False,False
50953.jpg,50953.jpg,-82.42876114,35.61979912392307,-82.42876114,35.61979912392307,Unknown,Occupied,Occupied,Occupied,Occupied,Occupied,True,False,False
51035.jpg,51035.jpg,-82.39875493,35.59941108877166,-82.39875493,35.59941108877166,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
51037.jpg,51037.jpg,-82.42841541,35.61668005848359,-82.42841541,35.61668005848359,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
52050.jpg,52050.jpg,-82.31661205,35.62382773416682,-82.31661205,35.62382773416682,Occupied,Unknown,Occupied,Occupied,Occupied,Occupied,True,False,False
52087.jpg,52087.jpg,-82.31718013,35.627384400704926,-82.31718013,35.627384400704926,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
52945.jpg,52945.jpg,-82.39160373,35.602853643499984,-82.39160373,35.602853643499984,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
53426.jpg,53426.jpg,-82.40065161,35.599732479273946,-82.40065161,35.599732479273946,Not Occupied,Unknown,Not Occupied,Occupied,Not Occupied,Occupied,True,True,True
53497.jpg,53497.jpg,-82.39920558,35.59891275084393,-82.39920558,35.59891275084393,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
53922.jpg,53922.jpg,-82.37847671,35.60616178025773,-82.37847671,35.60616178025773,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
54023.jpg,54023.jpg,-82.3167102,35.62735552,-82.3167102,35.62735552,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
54217.jpg,54217.jpg,-82.31753289,35.62771143,-82.31753289,35.62771143,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
54598.jpg,54598.jpg,-82.40017708,35.599384320510694,-82.40017708,35.599384320510694,Not Occupied,Unknown,Not Occupied,Occupied,Not Occupied,Occupied,True,True,True
55160.jpg,55160.jpg,-82.39264887,35.60309392301042,-82.39264887,35.60309392301042,Unknown,Unknown,Occupied,Occupied,Occupied,Occupied,False,False,False
55613.jpg,55613.jpg,-82.38413033,35.60452372,-82.38413033,35.60452372,Unknown,Unknown,Occupied,Occupied,Occupied,Occupied,False,False,False
55779.jpg,55779.jpg,-82.37726133,35.60361971121657,-82.37726133,35.60361971121657,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
56227.jpg,56227.jpg,-82.39860918,35.60093918028158,-82.39860918,35.60093918028158,Not Occupied,Unknown,Not Occupied,Occupied,Not Occupied,Occupied,True,True,True
57606.jpg,57606.jpg,-82.31834726,35.627109820016074,-82.31834726,35.627109820016074,Occupied,Unknown,Occupied,Occupied,Occupied,Occupied,True,False,False
58037.jpg,58037.jpg,-82.31803684,35.62823022293549,-82.31803684,35.62823022293549,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
58885.jpg,58885.jpg,-82.31756156,35.62951144264451,-82.31756156,35.62951144264451,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
59495.jpg,59495.jpg,-82.31727147,35.629498285666784,-82.31727147,35.629498285666784,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
59535.jpg,59535.jpg,-82.31673524,35.62718159421591,-82.31673524,35.62718159421591,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
59590.jpg,59590.jpg,-82.39059555,35.60121724785265,-82.39059555,35.60121724785265,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
59590.jpg,59590.jpg,-82.39059555,35.60121724785265,-82.39059555,35.60121724785265,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
60214.jpg,60214.jpg,-82.39233108,35.603011415508824,-82.39233108,35.603011415508824,Unknown,Occupied,Occupied,Occupied,Occupied,Occupied,True,False,False
60529.jpg,60529.jpg,-82.42905953,35.61853483233524,-82.42905953,35.61853483233524,Unknown,Occupied,Occupied,Occupied,Occupied,Occupied,True,False,False
61514.jpg,61514.jpg,-82.38695997,35.60394755697134,-82.38695997,35.60394755697134,Not Occupied,Not Occupied,Not Occupied,Occupied,Not Occupied,Occupied,False,True,True
62177.jpg,62177.jpg,-82.39980901,35.59807883122126,-82.39980901,35.59807883122126,Occupied,Unknown,Occupied,Occupied,Occupied,Occupied,True,False,False
62597.jpg,62597.jpg,-82.42321568,35.616276703073375,-82.42321568,35.616276703073375,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
63346.jpg,63346.jpg,-82.40604925,35.60366114270428,-82.40604925,35.60366114270428,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
63786.jpg,63786.jpg,-82.42785092,35.61733625,-82.42785092,35.61733625,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
64088.jpg,64088.jpg,-82.40111055,35.60200365421916,-82.40111055,35.60200365421916,Occupied,Unknown,Occupied,Occupied,Occupied,Occupied,True,False,False
64088.jpg,64088.jpg,-82.40111055,35.60200365421916,-82.40111055,35.60200365421916,Unknown,Unknown,Occupied,Occupied,Occupied,Occupied,False,False,False
64480.jpg,64480.jpg,-82.39754279,35.60085577932448,-82.39754279,35.60085577932448,Occupied,Unknown,Occupied,Occupied,Occupied,Occupied,True,False,False
64556.jpg,64556.jpg,-82.37843358,35.60591645158634,-82.37843358,35.60591645158634,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
64961.jpg,64961.jpg,-82.42372213,35.61565043594367,-82.42372213,35.61565043594367,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
65674.jpg,65674.jpg,-82.39890964,35.59902277,-82.39890964,35.59902277,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
65732.jpg,65732.jpg,-82.39371705,35.60445158626839,-82.39371705,35.60445158626839,Unknown,Unknown,Occupied,Occupied,Occupied,Occupied,False,False,False
65842.jpg,65842.jpg,-82.42373929,35.61840216643109,-82.42373929,35.61840216643109,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
66521.jpg,66521.jpg,-82.31669467,35.62749665618999,-82.31669467,35.62749665618999,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
66856.jpg,66856.jpg,-82.39248233,35.600760805950536,-82.39248233,35.600760805950536,Occupied,Unknown,Occupied,Occupied,Occupied,Occupied,True,False,False
67337.jpg,67337.jpg,-82.31769134,35.628218463449706,-82.31769134,35.628218463449706,Occupied,Occupied,Occupied,Occupied,Occupied,Occupied,False,False,False
68790.jpg,68790.jpg,-82.39353234,35.60229904119224,-82.39353234,35.60229904119224,Not Occupied,Occupied,Not Occupied,Occupied,Not Occupied,Occupied,True,True,True
69070.jpg,69070.jpg,-82.31789382,35.627901902428555,-82.31789382,35.627901902428555,Not Occupied,Not Occupied,Not Occupied,Not Occupied,Not Occupied,Not Occupied,False,False,False
