sample_id,visit,image_path,label_A,label_B,label_C
85,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/45070.jpg,,,
86,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/131945.jpg,,,
87,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/55335.jpg,,,
88,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/5518.jpg,,,
89,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/176345.jpg,,,
90,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/87873.jpg,,,
91,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/50524.jpg,,,
92,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/152820.jpg,,,
93,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/121465.jpg,,,
94,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/141041.jpg,,,
95,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/91448.jpg,,,
96,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/79283.jpg,,,
97,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/7799.jpg,,,
98,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/133969.jpg,,,
99,2,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit2_processed_images/84119.jpg,,,
100,1,/u/yxiao11/Research/Recov-Vision/data/FacadeTrack/Visit1_processed_images/3374.jpg,,,
