visit,objectid,ground_truth,gpt4o_two_stage,attrs,baseline,order_rev,order_a,order_b,paraphrase
1,5286.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Occupied,Occupied,Occupied,Occupied,Occupied
1,5310.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Occupied,Occupied,Occupied,Occupied,Occupied
1,5518.jpg,Not Occupied,Not Occupied,"{""house_destruction"": false, ""structural_damage"": true, ""exterior_debris"": true, ""open_doors_windows"": true, ""site_accessible"": true, ""exterior_mud"": true, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Not Occupied,Not Occupied,Not Occupied,Not Occupied,Not Occupied
1,5530.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Occupied,Occupied,Occupied,Occupied,Occupied
1,6173.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Occupied,Occupied,Occupied,Occupied,Occupied
1,6225.jpg,Not Occupied,Not Occupied,"{""house_destruction"": false, ""structural_damage"": true, ""exterior_debris"": true, ""open_doors_windows"": true, ""site_accessible"": true, ""exterior_mud"": true, ""emergency_markings"": false, ""major_repairs"": true, ""vehicle_presence"": false}",Not Occupied,Not Occupied,Not Occupied,Not Occupied,Not Occupied
1,6671.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": true, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Occupied,Occupied,Occupied,Occupied,Occupied
1,6671.jpg,Not Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": true, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Occupied,Occupied,Occupied,Occupied,Occupied
1,7190.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": true, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Occupied,Occupied,Occupied,Occupied,Occupied
1,7799.jpg,Not Occupied,Not Occupied,"{""house_destruction"": false, ""structural_damage"": true, ""exterior_debris"": true, ""open_doors_windows"": true, ""site_accessible"": true, ""exterior_mud"": true, ""emergency_markings"": false, ""major_repairs"": true, ""vehicle_presence"": false}",Not Occupied,Not Occupied,Not Occupied,Not Occupied,Not Occupied
1,8839.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Occupied,Occupied,Occupied,Occupied,Occupied
1,8885.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Occupied,Occupied,Occupied,Occupied,Occupied
1,9388.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Occupied,Occupied,Occupied,Occupied,Occupied
1,10126.jpg,Not Occupied,Not Occupied,"{""house_destruction"": false, ""structural_damage"": true, ""exterior_debris"": true, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": true, ""emergency_markings"": true, ""major_repairs"": false, ""vehicle_presence"": false}",Not Occupied,Not Occupied,Not Occupied,Not Occupied,Not Occupied
1,10312.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Occupied,Occupied,Occupied,Occupied,Occupied
1,10643.jpg,Not Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": true, ""exterior_debris"": true, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": true, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Not Occupied,Not Occupied,Not Occupied,Not Occupied,Not Occupied
1,10675.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Occupied,Occupied,Occupied,Occupied,Occupied
1,12103.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": true, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Occupied,Occupied,Occupied,Not Occupied,Occupied
1,12103.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": true, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Not Occupied,Occupied,Occupied,Occupied,Occupied
1,12928.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": true, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Occupied,Occupied,Occupied,Occupied,Occupied
1,13237.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Occupied,Occupied,Occupied,Occupied,Occupied
1,13311.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": true, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Occupied,Occupied,Occupied,Occupied,Occupied
1,13702.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": true, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Occupied,Occupied,Occupied,Occupied,Occupied
1,13848.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Occupied,Occupied,Occupied,Occupied,Occupied
1,14315.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Occupied,Occupied,Occupied,Occupied,Occupied
1,14315.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Occupied,Occupied,Occupied,Occupied,Occupied
1,14986.jpg,Not Occupied,Not Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": true, ""open_doors_windows"": true, ""site_accessible"": true, ""exterior_mud"": true, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Not Occupied,Not Occupied,Not Occupied,Not Occupied,Not Occupied
1,15609.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Occupied,Occupied,Occupied,Occupied,Occupied
1,17765.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Occupied,Occupied,Occupied,Occupied,Occupied
1,17816.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": true, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": true, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Occupied,Occupied,Occupied,Not Occupied,Occupied
1,17816.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": true, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": true, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Not Occupied,Occupied,Not Occupied,Not Occupied,Occupied
1,18111.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": true, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Not Occupied,Occupied,Occupied,Occupied,Occupied
1,18609.jpg,Not Occupied,Not Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": true, ""open_doors_windows"": true, ""site_accessible"": true, ""exterior_mud"": true, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Not Occupied,Not Occupied,Not Occupied,Not Occupied,Not Occupied
1,18610.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": true, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Occupied,Occupied,Occupied,Occupied,Occupied
1,18610.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": true, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Occupied,Occupied,Occupied,Not Occupied,Occupied
1,18909.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Occupied,Occupied,Occupied,Occupied,Occupied
1,19224.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": true, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": true, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Not Occupied,Occupied,Occupied,Not Occupied,Occupied
1,19482.jpg,Not Occupied,Not Occupied,"{""house_destruction"": false, ""structural_damage"": true, ""exterior_debris"": true, ""open_doors_windows"": true, ""site_accessible"": true, ""exterior_mud"": true, ""emergency_markings"": false, ""major_repairs"": true, ""vehicle_presence"": false}",Not Occupied,Not Occupied,Not Occupied,Not Occupied,Not Occupied
1,20326.jpg,Not Occupied,Not Occupied,"{""house_destruction"": false, ""structural_damage"": true, ""exterior_debris"": true, ""open_doors_windows"": false, ""site_accessible"": false, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Not Occupied,Not Occupied,Not Occupied,Not Occupied,Not Occupied
1,20845.jpg,Not Occupied,Not Occupied,"{""house_destruction"": false, ""structural_damage"": true, ""exterior_debris"": true, ""open_doors_windows"": true, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Not Occupied,Not Occupied,Not Occupied,Not Occupied,Not Occupied
1,20899.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Occupied,Occupied,Occupied,Occupied,Occupied
1,21916.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": true, ""exterior_debris"": true, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Not Occupied,Not Occupied,Not Occupied,Not Occupied,Not Occupied
1,22554.jpg,Not Occupied,Not Occupied,"{""house_destruction"": false, ""structural_damage"": true, ""exterior_debris"": true, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": true, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Not Occupied,Not Occupied,Not Occupied,Not Occupied,Not Occupied
1,22887.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Occupied,Occupied,Occupied,Occupied,Occupied
1,22887.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Occupied,Occupied,Occupied,Occupied,Occupied
1,24267.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Occupied,Occupied,Occupied,Occupied,Occupied
1,24883.jpg,Not Occupied,Not Occupied,"{""house_destruction"": false, ""structural_damage"": true, ""exterior_debris"": true, ""open_doors_windows"": true, ""site_accessible"": false, ""exterior_mud"": true, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Not Occupied,Not Occupied,Not Occupied,Not Occupied,Not Occupied
1,25130.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Occupied,Occupied,Occupied,Occupied,Occupied
1,26421.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": true, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Not Occupied,Occupied,Occupied,Not Occupied,Occupied
1,26934.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Occupied,Occupied,Occupied,Occupied,Occupied
1,27980.jpg,Not Occupied,Not Occupied,"{""house_destruction"": false, ""structural_damage"": true, ""exterior_debris"": true, ""open_doors_windows"": true, ""site_accessible"": true, ""exterior_mud"": true, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Not Occupied,Not Occupied,Not Occupied,Not Occupied,Not Occupied
1,28076.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Occupied,Occupied,Occupied,Occupied,Occupied
1,28406.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Occupied,Occupied,Occupied,Occupied,Occupied
1,28406.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Occupied,Occupied,Occupied,Occupied,Occupied
1,28632.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Occupied,Occupied,Occupied,Occupied,Occupied
1,29529.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": true, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Occupied,Occupied,Occupied,Occupied,Occupied
1,31044.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Occupied,Occupied,Occupied,Occupied,Occupied
1,31338.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Occupied,Occupied,Occupied,Occupied,Occupied
1,31569.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Occupied,Occupied,Occupied,Occupied,Occupied
1,31629.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Occupied,Occupied,Occupied,Occupied,Occupied
1,31726.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Occupied,Occupied,Occupied,Occupied,Occupied
1,32176.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Occupied,Occupied,Occupied,Occupied,Occupied
1,32719.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Occupied,Occupied,Occupied,Occupied,Occupied
1,32932.jpg,Not Occupied,Not Occupied,"{""house_destruction"": false, ""structural_damage"": true, ""exterior_debris"": true, ""open_doors_windows"": true, ""site_accessible"": true, ""exterior_mud"": true, ""emergency_markings"": true, ""major_repairs"": false, ""vehicle_presence"": false}",Not Occupied,Not Occupied,Not Occupied,Not Occupied,Not Occupied
1,33080.jpg,Not Occupied,Not Occupied,"{""house_destruction"": false, ""structural_damage"": true, ""exterior_debris"": true, ""open_doors_windows"": true, ""site_accessible"": true, ""exterior_mud"": true, ""emergency_markings"": false, ""major_repairs"": true, ""vehicle_presence"": false}",Not Occupied,Not Occupied,Not Occupied,Not Occupied,Not Occupied
1,33312.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Occupied,Occupied,Occupied,Occupied,Occupied
1,33904.jpg,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": true, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Occupied,Occupied,Occupied,Occupied,Occupied
